timestamp,kmax_cost,skype_cost,trks_cost
1477971660.0,940056.0,1023570.0,562380.0
1477971670.0,928920.0,992952.0,611340.0
1477971680.0,930720.0,986040.0,623520.0
1477971690.0,909636.0,1018872.0,623640.0
1477971700.0,917352.0,1019088.0,624480.0
1477971710.0,915468.0,1047330.0,627240.0
1477971720.0,914880.0,1056726.0,627240.0
1477971730.0,906024.0,1055052.0,618960.0
1477971740.0,888984.0,1123308.0,629820.0
1477971750.0,895968.0,1123308.0,625620.0
1477971760.0,920124.0,1146960.0,655260.0
1477971770.0,932676.0,1141614.0,655980.0
1477971780.0,903660.0,1141506.0,663420.0
1477971790.0,908424.0,1135350.0,659340.0
1477971800.0,907932.0,1142262.0,659340.0
1477971810.0,899604.0,1143018.0,710340.0
1477971820.0,899748.0,1156518.0,715740.0
1477971830.0,898716.0,1156518.0,729720.0
1477971840.0,912492.0,1225476.0,752940.0
1477971850.0,919932.0,1242972.0,703440.0
1477971860.0,926952.0,1240380.0,703440.0
1477971870.0,930792.0,1245510.0,708720.0
1477971880.0,913188.0,1265922.0,695460.0
1477971890.0,936072.0,1257714.0,688740.0
1477971900.0,945744.0,1262628.0,691200.0
1477971910.0,941436.0,1266300.0,678900.0
1477971920.0,948912.0,1200582.0,690540.0
1477971930.0,918084.0,1099980.0,700260.0
1477971940.0,914532.0,1104030.0,701280.0
1477971950.0,927156.0,1117908.0,735600.0
1477971960.0,917748.0,1092798.0,747120.0
1477971970.0,925224.0,1091448.0,769020.0
1477971980.0,942996.0,1123740.0,790920.0
1477971990.0,938628.0,1129410.0,810120.0
1477972000.0,957072.0,1125252.0,811920.0
1477972010.0,963252.0,1143234.0,802140.0
1477972020.0,973680.0,1191834.0,850740.0
1477972030.0,995928.0,1230984.0,909420.0
1477972040.0,998208.0,1237950.0,908520.0
1477972050.0,1024932.0,1232442.0,908280.0
1477972060.0,1017300.0,1177308.0,922320.0
1477972070.0,1023960.0,1191996.0,922140.0
1477972080.0,1022748.0,1199826.0,911940.0
1477972090.0,1036632.0,1180170.0,913260.0
1477972100.0,1052736.0,1156950.0,913920.0
1477972110.0,1084884.0,1195182.0,964440.0
1477972120.0,1094400.0,1195614.0,1027560.0
1477972130.0,1067676.0,1028052.0,991860.0
1477972140.0,1069608.0,1029402.0,994560.0
1477972150.0,1059708.0,1055646.0,994020.0
1477972160.0,1050708.0,1046790.0,981540.0
1477972170.0,1048128.0,1077084.0,1018800.0
1477972180.0,1037652.0,1081782.0,991860.0
1477972190.0,1053372.0,1091610.0,989340.0
1477972200.0,1061832.0,1092150.0,977640.0
1477972210.0,1049112.0,1060668.0,1016460.0
1477972220.0,1020420.0,977832.0,1008720.0
1477972230.0,992292.0,925344.0,1007280.0
1477972240.0,1007856.0,947268.0,999840.0
1477972250.0,1009776.0,973512.0,998880.0
1477972260.0,1020324.0,985230.0,993480.0
1477972270.0,1026816.0,983826.0,988140.0
1477972280.0,1023024.0,980154.0,966840.0
1477972290.0,1015104.0,980694.0,959940.0
1477972300.0,1020588.0,957528.0,958560.0
1477972310.0,1026096.0,963360.0,957180.0
1477972320.0,996696.0,925992.0,962100.0
1477972330.0,1000212.0,964386.0,939060.0
1477972340.0,999372.0,971730.0,942540.0
1477972350.0,991752.0,987660.0,950280.0
